iter	Passed	Remaining
0	149	149642
1	157	78834
2	163	54440
3	166	41567
4	172	34257
5	176	29177
6	179	25490
7	182	22622
8	187	20609
9	192	19072
10	195	17588
11	198	16321
12	204	15517
13	207	14631
14	211	13884
15	213	13154
16	222	12843
17	225	12304
18	228	11797
19	233	11449
20	237	11061
21	240	10709
22	243	10344
23	248	10099
24	252	9842
25	255	9578
26	258	9306
27	260	9041
28	266	8919
29	270	8740
30	272	8533
31	275	8328
32	281	8255
33	286	8128
34	288	7964
35	295	7919
36	299	7798
37	302	7666
38	304	7512
39	310	7462
40	314	7350
41	317	7249
42	323	7196
43	326	7103
44	330	7012
45	333	6907
46	337	6839
47	342	6794
48	345	6702
49	347	6608
50	349	6510
51	354	6455
52	357	6395
53	360	6315
54	367	6319
55	372	6279
56	375	6208
57	378	6144
58	382	6099
59	387	6065
60	389	6001
61	392	5931
62	398	5933
63	402	5891
64	406	5843
65	416	5893
66	421	5875
67	510	7002
68	565	7631
69	578	7684
70	612	8016
71	616	7941
72	731	9284
73	742	9295
74	760	9378
75	765	9304
76	779	9338
77	788	9319
78	793	9255
79	802	9232
80	842	9561
81	891	9977
82	898	9924
83	903	9854
84	914	9846
85	920	9787
86	935	9822
87	946	9810
88	951	9739
89	961	9725
90	968	9671
91	981	9683
92	986	9621
93	995	9590
94	998	9508
95	1001	9432
96	1008	9392
97	1012	9322
98	1017	9257
99	1026	9235
100	1032	9187
101	1038	9145
102	1043	9083
103	1047	9021
104	1053	8983
105	1057	8918
106	1061	8858
107	1070	8838
108	1075	8789
109	1077	8721
110	1085	8693
111	1090	8646
112	1093	8584
113	1103	8573
114	1107	8523
115	1115	8503
116	1120	8456
117	1124	8402
118	1132	8387
119	1138	8346
120	1144	8313
121	1150	8282
122	1160	8274
123	1173	8289
124	1181	8271
125	1189	8248
126	1194	8212
127	1199	8171
128	1204	8131
129	1208	8090
130	1213	8047
131	1217	8003
132	1222	7966
133	1224	7916
134	1227	7867
135	1232	7828
136	1235	7785
137	1239	7741
138	1244	7709
139	1251	7687
140	1254	7643
141	1257	7595
142	1261	7562
143	1320	7848
144	1332	7856
145	1339	7833
146	1350	7838
147	1358	7820
148	1363	7785
149	1368	7756
150	1381	7765
151	1395	7783
152	1405	7780
153	1412	7760
154	1416	7722
155	1425	7712
156	1431	7687
157	1447	7714
158	1452	7681
159	1459	7660
160	1462	7619
161	1469	7602
162	1476	7581
163	1484	7566
164	1491	7547
165	1497	7521
166	1505	7511
167	1517	7517
168	1532	7536
169	1545	7544
170	1552	7524
171	1562	7523
172	1574	7524
173	1580	7501
174	1585	7476
175	1594	7464
176	1604	7461
177	1613	7449
178	1625	7454
179	1636	7453
180	1639	7420
181	1647	7404
182	1657	7401
183	1661	7368
184	1671	7365
185	1677	7339
186	1683	7318
187	1688	7294
188	1691	7260
189	1698	7240
190	1704	7218
191	1716	7223
192	1722	7203
193	1729	7187
194	1734	7162
195	1740	7141
196	1745	7114
197	1756	7112
198	1761	7088
199	1765	7060
200	1775	7058
201	1780	7035
202	1789	7026
203	1794	7002
204	1800	6982
205	1805	6958
206	1811	6939
207	1822	6941
208	1827	6918
209	1833	6896
210	1836	6869
211	1851	6880
212	1865	6893
213	1869	6866
214	1876	6852
215	1897	6886
216	1911	6897
217	1916	6874
218	1927	6873
219	1932	6852
220	1936	6827
221	1941	6804
222	1959	6826
223	1973	6838
224	1981	6823
225	1990	6815
226	1998	6807
227	2003	6784
228	2009	6767
229	2014	6744
230	2019	6722
231	2025	6706
232	2030	6684
233	2036	6665
234	2044	6656
235	2049	6635
236	2060	6632
237	2064	6608
238	2067	6582
239	2075	6572
240	2080	6551
241	2084	6527
242	2092	6517
243	2097	6497
244	2106	6490
245	2110	6467
246	2115	6448
247	2120	6429
248	2124	6409
249	2129	6389
250	2135	6372
251	2139	6349
252	2143	6328
253	2146	6304
254	2152	6289
255	2158	6271
256	2161	6248
257	2168	6236
258	2173	6218
259	2180	6206
260	2197	6223
